Silhouette Studio Level Testing Document,,,,,,4.2.233,
Win P,Mac P,Level,Task,Notes,Ticket No.,Win,Mac
"=if(IFERROR(search(""Success"",INDIRECT(""G342""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H342""))>0,0),""Mac Pass"",""Mac Fail"")",,50%,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G343""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H343""))>0,0),""Mac Pass"",""Mac Fail"")",,200%,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G344""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H344""))>0,0),""Mac Pass"",""Mac Fail"")",,300%,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G345""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H345""))>0,0),""Mac Pass"",""Mac Fail"")",,Custom (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G346""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H346""))>0,0),""Mac Pass"",""Mac Fail"")",,Specify W Dimension (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G347""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H347""))>0,0),""Mac Pass"",""Mac Fail"")",,Specify H Dimension (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G348""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H348""))>0,0),""Mac Pass"",""Mac Fail"")",,Lock Aspect + Change W / H,,,,
Rotate,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G350""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H350""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate to 0° ,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G351""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H351""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate to 90° ,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G352""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H352""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate to 180° ,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G353""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H353""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate to 270° ,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G354""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H354""))>0,0),""Mac Pass"",""Mac Fail"")",,Custom Rotate To (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G355""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H355""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate By 45° CW,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G356""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H356""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate By 90° CW,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G357""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H357""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate By 180° ,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G358""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H358""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate By 45° CCW,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G359""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H359""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate By 90° CCW,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G360""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H360""))>0,0),""Mac Pass"",""Mac Fail"")",,Custom Rotate By (3 inputs),,,,
Align,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G362""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H362""))>0,0),""Mac Pass"",""Mac Fail"")",,Center to Page,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G363""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H363""))>0,0),""Mac Pass"",""Mac Fail"")",,Align left,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G364""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H364""))>0,0),""Mac Pass"",""Mac Fail"")",,Align Center,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G365""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H365""))>0,0),""Mac Pass"",""Mac Fail"")",,Align Right,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G366""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H366""))>0,0),""Mac Pass"",""Mac Fail"")",,Align Top,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G367""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H367""))>0,0),""Mac Pass"",""Mac Fail"")",,Align Middle,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G368""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H368""))>0,0),""Mac Pass"",""Mac Fail"")",,Align Bottom,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G369""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H369""))>0,0),""Mac Pass"",""Mac Fail"")",,Space Horizontally,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G370""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H370""))>0,0),""Mac Pass"",""Mac Fail"")",,Space Vertically,,,,
Shear,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G372""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H372""))>0,0),""Mac Pass"",""Mac Fail"")",,Horizontal Shear by -30°,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G373""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H373""))>0,0),""Mac Pass"",""Mac Fail"")",,Horizontal Shear by -15°,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G374""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H374""))>0,0),""Mac Pass"",""Mac Fail"")",,0 Horizontal Shear,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G375""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H375""))>0,0),""Mac Pass"",""Mac Fail"")",,Horizontal Shear by 15°,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G376""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H376""))>0,0),""Mac Pass"",""Mac Fail"")",,Horizontal Shear by 30°,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G377""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H377""))>0,0),""Mac Pass"",""Mac Fail"")",,Custom Horizontal Shear (3 imputs),Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G378""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H378""))>0,0),""Mac Pass"",""Mac Fail"")",,Vertical Shear by -30°,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G379""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H379""))>0,0),""Mac Pass"",""Mac Fail"")",,Vertical Shear by -15°,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G380""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H380""))>0,0),""Mac Pass"",""Mac Fail"")",,0 Vertical Shear ,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G381""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H381""))>0,0),""Mac Pass"",""Mac Fail"")",,Vertical Shear by 15°,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G382""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H382""))>0,0),""Mac Pass"",""Mac Fail"")",,Vertical Shear by 30°,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G383""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H383""))>0,0),""Mac Pass"",""Mac Fail"")",,Custom Vertical Shear (3 imputs),Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G384""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H384""))>0,0),""Mac Pass"",""Mac Fail"")",,Show Shear Handles,Designer Edition and above.,,,
Replicate,,,,,,,
Basic Replication,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G387""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H387""))>0,0),""Mac Pass"",""Mac Fail"")",,Duplicate Left,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G388""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H388""))>0,0),""Mac Pass"",""Mac Fail"")",,Duplicate Right,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G389""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H389""))>0,0),""Mac Pass"",""Mac Fail"")",,Duplicate Below,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G390""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H390""))>0,0),""Mac Pass"",""Mac Fail"")",,Duplicate Above,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G391""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H391""))>0,0),""Mac Pass"",""Mac Fail"")",,Row of Three,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G392""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H392""))>0,0),""Mac Pass"",""Mac Fail"")",,Row of Four,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G393""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H393""))>0,0),""Mac Pass"",""Mac Fail"")",,Column of Three,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G394""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H394""))>0,0),""Mac Pass"",""Mac Fail"")",,Column of Four,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G395""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H395""))>0,0),""Mac Pass"",""Mac Fail"")",,Fill Page,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G396""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H396""))>0,0),""Mac Pass"",""Mac Fail"")",,Mirror Below,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G397""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H397""))>0,0),""Mac Pass"",""Mac Fail"")",,Mirror Above,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G398""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H398""))>0,0),""Mac Pass"",""Mac Fail"")",,Mirror Left,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G399""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H399""))>0,0),""Mac Pass"",""Mac Fail"")",,Mirror Right,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G400""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H400""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate One Copy,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G401""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H401""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate Two Copies,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G402""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H402""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate Three Copies,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G403""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H403""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate Five Copies,,,,
Custom Replication,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G405""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H405""))>0,0),""Mac Pass"",""Mac Fail"")",,Number of copies,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G406""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H406""))>0,0),""Mac Pass"",""Mac Fail"")",,Replicate On the spot,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G407""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H407""))>0,0),""Mac Pass"",""Mac Fail"")",,Replicate Left,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G408""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H408""))>0,0),""Mac Pass"",""Mac Fail"")",,Replicate Right,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G409""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H409""))>0,0),""Mac Pass"",""Mac Fail"")",,Replicate Above,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G410""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H410""))>0,0),""Mac Pass"",""Mac Fail"")",,Replicate Below,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G411""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H411""))>0,0),""Mac Pass"",""Mac Fail"")",,Offset Replication,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G412""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H412""))>0,0),""Mac Pass"",""Mac Fail"")",,Offset Replication X axis,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G413""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H413""))>0,0),""Mac Pass"",""Mac Fail"")",,Offset Replication Y axis,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G414""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H414""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotational Replication,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G415""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H415""))>0,0),""Mac Pass"",""Mac Fail"")",,Create replication,,,,
Modify,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G417""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H417""))>0,0),""Mac Pass"",""Mac Fail"")",,Weld ,Requires 2 + Objects,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G418""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H418""))>0,0),""Mac Pass"",""Mac Fail"")",,Subtract,Requires 2 + Objects,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G419""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H419""))>0,0),""Mac Pass"",""Mac Fail"")",,Subtract All,Requires 2 + Objects,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G420""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H420""))>0,0),""Mac Pass"",""Mac Fail"")",,Crop,Requires 2 + Objects,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G421""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H421""))>0,0),""Mac Pass"",""Mac Fail"")",,Intersect,Requires 2 + Objects,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G422""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H422""))>0,0),""Mac Pass"",""Mac Fail"")",,Divide,Requires 2 + Objects,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G423""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H423""))>0,0),""Mac Pass"",""Mac Fail"")",,Detach Lines,Requires 2 + Objects,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G424""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H424""))>0,0),""Mac Pass"",""Mac Fail"")",,Make Compound Paths,Requires 2 + Objects,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G425""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H425""))>0,0),""Mac Pass"",""Mac Fail"")",,Release Compound Paths,Requires 2 + Objects,,,
Offset,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G427""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H427""))>0,0),""Mac Pass"",""Mac Fail"")",,Offset Selected Shapes,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G428""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H428""))>0,0),""Mac Pass"",""Mac Fail"")",,Internal Offset,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G429""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H429""))>0,0),""Mac Pass"",""Mac Fail"")",,Adjust Offset Distance (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G430""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H430""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply Corner Offset,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G431""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H431""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply Round Offset,,,,
Object on path,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G433""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H433""))>0,0),""Mac Pass"",""Mac Fail"")",,Show Grab Handle,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G434""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H434""))>0,0),""Mac Pass"",""Mac Fail"")",,Perpendicular Toggle On/Off,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G435""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H435""))>0,0),""Mac Pass"",""Mac Fail"")",,Start Angle (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G436""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H436""))>0,0),""Mac Pass"",""Mac Fail"")",,Increment Angle (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G437""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H437""))>0,0),""Mac Pass"",""Mac Fail"")",,Start Position (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G438""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H438""))>0,0),""Mac Pass"",""Mac Fail"")",,Section Length (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G439""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H439""))>0,0),""Mac Pass"",""Mac Fail"")",,Number of Repeats,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G440""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H440""))>0,0),""Mac Pass"",""Mac Fail"")",,Step Length,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G441""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H441""))>0,0),""Mac Pass"",""Mac Fail"")",,Release copies,,,,
Popup,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G443""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H443""))>0,0),""Mac Pass"",""Mac Fail"")",,Convert Selected Shapes to Popup,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G444""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H444""))>0,0),""Mac Pass"",""Mac Fail"")",,Restore Original Shapes to Popup,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G445""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H445""))>0,0),""Mac Pass"",""Mac Fail"")",,Release Popup,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G446""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H446""))>0,0),""Mac Pass"",""Mac Fail"")",,Base Width (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G447""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H447""))>0,0),""Mac Pass"",""Mac Fail"")",,Min. Strut Width (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G448""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H448""))>0,0),""Mac Pass"",""Mac Fail"")",,Dash Pitch (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G449""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H449""))>0,0),""Mac Pass"",""Mac Fail"")",,Change the depth of the popup,,,,
Silhouette Library,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G451""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H451""))>0,0),""Mac Pass"",""Mac Fail"")",,Update Library ,You'll need to install and create a library in the previous version.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G452""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H452""))>0,0),""Mac Pass"",""Mac Fail"")",,Login to a Cloud Account,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G453""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H453""))>0,0),""Mac Pass"",""Mac Fail"")",,Add User,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G454""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H454""))>0,0),""Mac Pass"",""Mac Fail"")",,Login into multiple Cloud Accounts,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G455""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H455""))>0,0),""Mac Pass"",""Mac Fail"")",,Manage Devices,Should take you to a browser window,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G456""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H456""))>0,0),""Mac Pass"",""Mac Fail"")",,Login into an account with 10K files,testlibrary1@aspexsoftware.com,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G457""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H457""))>0,0),""Mac Pass"",""Mac Fail"")",,Test the Sync button,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G458""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H458""))>0,0),""Mac Pass"",""Mac Fail"")",,Export Account as Library,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G459""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H459""))>0,0),""Mac Pass"",""Mac Fail"")",,Sign Out of Cloud Account.,,,,
Saving,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G461""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H461""))>0,0),""Mac Pass"",""Mac Fail"")",,Save Design to Library,File > Save to Library,,,
Downloading from Online Store,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G463""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H463""))>0,0),""Mac Pass"",""Mac Fail"")",,Purchase 10 designs from the online store ,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G464""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H464""))>0,0),""Mac Pass"",""Mac Fail"")",,Search for Designs using SDS Search Bar,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G465""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H465""))>0,0),""Mac Pass"",""Mac Fail"")",,Downloaded Designs Syncs with 'Recent Downloads' folder,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G466""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H466""))>0,0),""Mac Pass"",""Mac Fail"")",,Downloaded Patterns  Syncs with 'Patterns' folder,,,,
