Silhouette Studio Level Testing Document,,,,,,4.2.233,
Level,Win,Mac,Task,Notes,Ticket No.,Win,Mac
2,"=IFS(INDIRECT(""Setup!B457"")=True,""Pass"",INDIRECT(""Setup!C457"")=True,""Fail"",INDIRECT(""Setup!D457"")=True,""N/A"",INDIRECT(""Setup!E457"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F457"")=True,""Pass"",INDIRECT(""Setup!G457"")=True,""Fail"",INDIRECT(""Setup!H457"")=True,""N/A"",INDIRECT(""Setup!I457"")=True,""Retest"")",Manage Devices,Should take you to a browser window,,,
3,"=IFS(INDIRECT(""Setup!B458"")=True,""Pass"",INDIRECT(""Setup!C458"")=True,""Fail"",INDIRECT(""Setup!D458"")=True,""N/A"",INDIRECT(""Setup!E458"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F458"")=True,""Pass"",INDIRECT(""Setup!G458"")=True,""Fail"",INDIRECT(""Setup!H458"")=True,""N/A"",INDIRECT(""Setup!I458"")=True,""Retest"")",Login into an account with 10K files,testlibrary1@aspexsoftware.com,,,
2,"=IFS(INDIRECT(""Setup!B459"")=True,""Pass"",INDIRECT(""Setup!C459"")=True,""Fail"",INDIRECT(""Setup!D459"")=True,""N/A"",INDIRECT(""Setup!E459"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F459"")=True,""Pass"",INDIRECT(""Setup!G459"")=True,""Fail"",INDIRECT(""Setup!H459"")=True,""N/A"",INDIRECT(""Setup!I459"")=True,""Retest"")",Test the Sync button,,,,
2,"=IFS(INDIRECT(""Setup!B460"")=True,""Pass"",INDIRECT(""Setup!C460"")=True,""Fail"",INDIRECT(""Setup!D460"")=True,""N/A"",INDIRECT(""Setup!E460"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F460"")=True,""Pass"",INDIRECT(""Setup!G460"")=True,""Fail"",INDIRECT(""Setup!H460"")=True,""N/A"",INDIRECT(""Setup!I460"")=True,""Retest"")",Export Account as Library,,,,
2,"=IFS(INDIRECT(""Setup!B461"")=True,""Pass"",INDIRECT(""Setup!C461"")=True,""Fail"",INDIRECT(""Setup!D461"")=True,""N/A"",INDIRECT(""Setup!E461"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F461"")=True,""Pass"",INDIRECT(""Setup!G461"")=True,""Fail"",INDIRECT(""Setup!H461"")=True,""N/A"",INDIRECT(""Setup!I461"")=True,""Retest"")",Sign Out of Cloud Account.,,,,
,Saving,,,,,,
2,"=IFS(INDIRECT(""Setup!B463"")=True,""Pass"",INDIRECT(""Setup!C463"")=True,""Fail"",INDIRECT(""Setup!D463"")=True,""N/A"",INDIRECT(""Setup!E463"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F463"")=True,""Pass"",INDIRECT(""Setup!G463"")=True,""Fail"",INDIRECT(""Setup!H463"")=True,""N/A"",INDIRECT(""Setup!I463"")=True,""Retest"")",Save Design to Library,File > Save to Library,,,
,Downloading from Online Store,,,,,,
2,"=IFS(INDIRECT(""Setup!B465"")=True,""Pass"",INDIRECT(""Setup!C465"")=True,""Fail"",INDIRECT(""Setup!D465"")=True,""N/A"",INDIRECT(""Setup!E465"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F465"")=True,""Pass"",INDIRECT(""Setup!G465"")=True,""Fail"",INDIRECT(""Setup!H465"")=True,""N/A"",INDIRECT(""Setup!I465"")=True,""Retest"")",Purchase 10 designs from the online store,,,,
2,"=IFS(INDIRECT(""Setup!B466"")=True,""Pass"",INDIRECT(""Setup!C466"")=True,""Fail"",INDIRECT(""Setup!D466"")=True,""N/A"",INDIRECT(""Setup!E466"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F466"")=True,""Pass"",INDIRECT(""Setup!G466"")=True,""Fail"",INDIRECT(""Setup!H466"")=True,""N/A"",INDIRECT(""Setup!I466"")=True,""Retest"")",Downloaded Designs Syncs with 'Recent Downloads' folder,,,,
3,"=IFS(INDIRECT(""Setup!B467"")=True,""Pass"",INDIRECT(""Setup!C467"")=True,""Fail"",INDIRECT(""Setup!D467"")=True,""N/A"",INDIRECT(""Setup!E467"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F467"")=True,""Pass"",INDIRECT(""Setup!G467"")=True,""Fail"",INDIRECT(""Setup!H467"")=True,""N/A"",INDIRECT(""Setup!I467"")=True,""Retest"")",Downloaded Patterns  Syncs with 'Patterns' folder,,,,
3,"=IFS(INDIRECT(""Setup!B468"")=True,""Pass"",INDIRECT(""Setup!C468"")=True,""Fail"",INDIRECT(""Setup!D468"")=True,""N/A"",INDIRECT(""Setup!E468"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F468"")=True,""Pass"",INDIRECT(""Setup!G468"")=True,""Fail"",INDIRECT(""Setup!H468"")=True,""N/A"",INDIRECT(""Setup!I468"")=True,""Retest"")",Downloaded Fonts  Syncs with 'Fonts' folder,,,,
,Folder Structure,,,,,,
3,"=IFS(INDIRECT(""Setup!B470"")=True,""Pass"",INDIRECT(""Setup!C470"")=True,""Fail"",INDIRECT(""Setup!D470"")=True,""N/A"",INDIRECT(""Setup!E470"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F470"")=True,""Pass"",INDIRECT(""Setup!G470"")=True,""Fail"",INDIRECT(""Setup!H470"")=True,""N/A"",INDIRECT(""Setup!I470"")=True,""Retest"")",Add new folder to Fonts,,,,
3,"=IFS(INDIRECT(""Setup!B471"")=True,""Pass"",INDIRECT(""Setup!C471"")=True,""Fail"",INDIRECT(""Setup!D471"")=True,""N/A"",INDIRECT(""Setup!E471"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F471"")=True,""Pass"",INDIRECT(""Setup!G471"")=True,""Fail"",INDIRECT(""Setup!H471"")=True,""N/A"",INDIRECT(""Setup!I471"")=True,""Retest"")",Add new Subfolder to ^,,,,
3,"=IFS(INDIRECT(""Setup!B472"")=True,""Pass"",INDIRECT(""Setup!C472"")=True,""Fail"",INDIRECT(""Setup!D472"")=True,""N/A"",INDIRECT(""Setup!E472"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F472"")=True,""Pass"",INDIRECT(""Setup!G472"")=True,""Fail"",INDIRECT(""Setup!H472"")=True,""N/A"",INDIRECT(""Setup!I472"")=True,""Retest"")",Add new folder to Patterns,,,,
3,"=IFS(INDIRECT(""Setup!B473"")=True,""Pass"",INDIRECT(""Setup!C473"")=True,""Fail"",INDIRECT(""Setup!D473"")=True,""N/A"",INDIRECT(""Setup!E473"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F473"")=True,""Pass"",INDIRECT(""Setup!G473"")=True,""Fail"",INDIRECT(""Setup!H473"")=True,""N/A"",INDIRECT(""Setup!I473"")=True,""Retest"")",Add new Subfolder to ^,,,,
3,"=IFS(INDIRECT(""Setup!B474"")=True,""Pass"",INDIRECT(""Setup!C474"")=True,""Fail"",INDIRECT(""Setup!D474"")=True,""N/A"",INDIRECT(""Setup!E474"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F474"")=True,""Pass"",INDIRECT(""Setup!G474"")=True,""Fail"",INDIRECT(""Setup!H474"")=True,""N/A"",INDIRECT(""Setup!I474"")=True,""Retest"")",Add new folder to Library,,,,
3,"=IFS(INDIRECT(""Setup!B475"")=True,""Pass"",INDIRECT(""Setup!C475"")=True,""Fail"",INDIRECT(""Setup!D475"")=True,""N/A"",INDIRECT(""Setup!E475"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F475"")=True,""Pass"",INDIRECT(""Setup!G475"")=True,""Fail"",INDIRECT(""Setup!H475"")=True,""N/A"",INDIRECT(""Setup!I475"")=True,""Retest"")",Add new Subfolder to ^,,,,
3,"=IFS(INDIRECT(""Setup!B476"")=True,""Pass"",INDIRECT(""Setup!C476"")=True,""Fail"",INDIRECT(""Setup!D476"")=True,""N/A"",INDIRECT(""Setup!E476"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F476"")=True,""Pass"",INDIRECT(""Setup!G476"")=True,""Fail"",INDIRECT(""Setup!H476"")=True,""N/A"",INDIRECT(""Setup!I476"")=True,""Retest"")",Delete all folders / subfolders created,,,,
,Export Library,,,,,,
3,"=IFS(INDIRECT(""Setup!B478"")=True,""Pass"",INDIRECT(""Setup!C478"")=True,""Fail"",INDIRECT(""Setup!D478"")=True,""N/A"",INDIRECT(""Setup!E478"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F478"")=True,""Pass"",INDIRECT(""Setup!G478"")=True,""Fail"",INDIRECT(""Setup!H478"")=True,""N/A"",INDIRECT(""Setup!I478"")=True,""Retest"")",Export library with 10 Files,,,,
3,"=IFS(INDIRECT(""Setup!B479"")=True,""Pass"",INDIRECT(""Setup!C479"")=True,""Fail"",INDIRECT(""Setup!D479"")=True,""N/A"",INDIRECT(""Setup!E479"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F479"")=True,""Pass"",INDIRECT(""Setup!G479"")=True,""Fail"",INDIRECT(""Setup!H479"")=True,""N/A"",INDIRECT(""Setup!I479"")=True,""Retest"")",Export Library with 10k Files,,,,
,Import Library,,,,,,
2,"=IFS(INDIRECT(""Setup!B481"")=True,""Pass"",INDIRECT(""Setup!C481"")=True,""Fail"",INDIRECT(""Setup!D481"")=True,""N/A"",INDIRECT(""Setup!E481"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F481"")=True,""Pass"",INDIRECT(""Setup!G481"")=True,""Fail"",INDIRECT(""Setup!H481"")=True,""N/A"",INDIRECT(""Setup!I481"")=True,""Retest"")",Import Library with 10 Files,,,,
3,"=IFS(INDIRECT(""Setup!B482"")=True,""Pass"",INDIRECT(""Setup!C482"")=True,""Fail"",INDIRECT(""Setup!D482"")=True,""N/A"",INDIRECT(""Setup!E482"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F482"")=True,""Pass"",INDIRECT(""Setup!G482"")=True,""Fail"",INDIRECT(""Setup!H482"")=True,""N/A"",INDIRECT(""Setup!I482"")=True,""Retest"")",Import Library with 10k Files,,,,
,Font Management,,,,,,
3,"=IFS(INDIRECT(""Setup!B484"")=True,""Pass"",INDIRECT(""Setup!C484"")=True,""Fail"",INDIRECT(""Setup!D484"")=True,""N/A"",INDIRECT(""Setup!E484"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F484"")=True,""Pass"",INDIRECT(""Setup!G484"")=True,""Fail"",INDIRECT(""Setup!H484"")=True,""N/A"",INDIRECT(""Setup!I484"")=True,""Retest"")",Create folders,Designer Edition and Above,,,
3,"=IFS(INDIRECT(""Setup!B485"")=True,""Pass"",INDIRECT(""Setup!C485"")=True,""Fail"",INDIRECT(""Setup!D485"")=True,""N/A"",INDIRECT(""Setup!E485"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F485"")=True,""Pass"",INDIRECT(""Setup!G485"")=True,""Fail"",INDIRECT(""Setup!H485"")=True,""N/A"",INDIRECT(""Setup!I485"")=True,""Retest"")",Create subfolders,Designer Edition and Above,,,
3,"=IFS(INDIRECT(""Setup!B486"")=True,""Pass"",INDIRECT(""Setup!C486"")=True,""Fail"",INDIRECT(""Setup!D486"")=True,""N/A"",INDIRECT(""Setup!E486"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F486"")=True,""Pass"",INDIRECT(""Setup!G486"")=True,""Fail"",INDIRECT(""Setup!H486"")=True,""N/A"",INDIRECT(""Setup!I486"")=True,""Retest"")",Add fonts to various folders,Designer Edition and Above,,,
3,"=IFS(INDIRECT(""Setup!B487"")=True,""Pass"",INDIRECT(""Setup!C487"")=True,""Fail"",INDIRECT(""Setup!D487"")=True,""N/A"",INDIRECT(""Setup!E487"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F487"")=True,""Pass"",INDIRECT(""Setup!G487"")=True,""Fail"",INDIRECT(""Setup!H487"")=True,""N/A"",INDIRECT(""Setup!I487"")=True,""Retest"")",Remove fonts from folders,Designer Edition and Above,,,
3,"=IFS(INDIRECT(""Setup!B488"")=True,""Pass"",INDIRECT(""Setup!C488"")=True,""Fail"",INDIRECT(""Setup!D488"")=True,""N/A"",INDIRECT(""Setup!E488"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F488"")=True,""Pass"",INDIRECT(""Setup!G488"")=True,""Fail"",INDIRECT(""Setup!H488"")=True,""N/A"",INDIRECT(""Setup!I488"")=True,""Retest"")",Change the name of the folders,Designer Edition and Above,,,
,PDF Viewer,,,,,,
3,"=IFS(INDIRECT(""Setup!B490"")=True,""Pass"",INDIRECT(""Setup!C490"")=True,""Fail"",INDIRECT(""Setup!D490"")=True,""N/A"",INDIRECT(""Setup!E490"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F490"")=True,""Pass"",INDIRECT(""Setup!G490"")=True,""Fail"",INDIRECT(""Setup!H490"")=True,""N/A"",INDIRECT(""Setup!I490"")=True,""Retest"")",Open PDF view from cloud,,,,
3,"=IFS(INDIRECT(""Setup!B491"")=True,""Pass"",INDIRECT(""Setup!C491"")=True,""Fail"",INDIRECT(""Setup!D491"")=True,""N/A"",INDIRECT(""Setup!E491"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F491"")=True,""Pass"",INDIRECT(""Setup!G491"")=True,""Fail"",INDIRECT(""Setup!H491"")=True,""N/A"",INDIRECT(""Setup!I491"")=True,""Retest"")",Zoom in,,,,
3,"=IFS(INDIRECT(""Setup!B492"")=True,""Pass"",INDIRECT(""Setup!C492"")=True,""Fail"",INDIRECT(""Setup!D492"")=True,""N/A"",INDIRECT(""Setup!E492"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F492"")=True,""Pass"",INDIRECT(""Setup!G492"")=True,""Fail"",INDIRECT(""Setup!H492"")=True,""N/A"",INDIRECT(""Setup!I492"")=True,""Retest"")",Zoom out,,,,
3,"=IFS(INDIRECT(""Setup!B493"")=True,""Pass"",INDIRECT(""Setup!C493"")=True,""Fail"",INDIRECT(""Setup!D493"")=True,""N/A"",INDIRECT(""Setup!E493"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F493"")=True,""Pass"",INDIRECT(""Setup!G493"")=True,""Fail"",INDIRECT(""Setup!H493"")=True,""N/A"",INDIRECT(""Setup!I493"")=True,""Retest"")",Fit to Page,,,,
3,"=IFS(INDIRECT(""Setup!B494"")=True,""Pass"",INDIRECT(""Setup!C494"")=True,""Fail"",INDIRECT(""Setup!D494"")=True,""N/A"",INDIRECT(""Setup!E494"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F494"")=True,""Pass"",INDIRECT(""Setup!G494"")=True,""Fail"",INDIRECT(""Setup!H494"")=True,""N/A"",INDIRECT(""Setup!I494"")=True,""Retest"")",Mouse scroll through pages,,,,
3,"=IFS(INDIRECT(""Setup!B495"")=True,""Pass"",INDIRECT(""Setup!C495"")=True,""Fail"",INDIRECT(""Setup!D495"")=True,""N/A"",INDIRECT(""Setup!E495"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F495"")=True,""Pass"",INDIRECT(""Setup!G495"")=True,""Fail"",INDIRECT(""Setup!H495"")=True,""N/A"",INDIRECT(""Setup!I495"")=True,""Retest"")",Page Up,,,,
3,"=IFS(INDIRECT(""Setup!B496"")=True,""Pass"",INDIRECT(""Setup!C496"")=True,""Fail"",INDIRECT(""Setup!D496"")=True,""N/A"",INDIRECT(""Setup!E496"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F496"")=True,""Pass"",INDIRECT(""Setup!G496"")=True,""Fail"",INDIRECT(""Setup!H496"")=True,""N/A"",INDIRECT(""Setup!I496"")=True,""Retest"")",Page Down,,,,
3,"=IFS(INDIRECT(""Setup!B497"")=True,""Pass"",INDIRECT(""Setup!C497"")=True,""Fail"",INDIRECT(""Setup!D497"")=True,""N/A"",INDIRECT(""Setup!E497"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F497"")=True,""Pass"",INDIRECT(""Setup!G497"")=True,""Fail"",INDIRECT(""Setup!H497"")=True,""N/A"",INDIRECT(""Setup!I497"")=True,""Retest"")",Manually enter a page number,,,,
,Design Page Settings,,,,,,
3,"=IFS(INDIRECT(""Setup!B499"")=True,""Pass"",INDIRECT(""Setup!C499"")=True,""Fail"",INDIRECT(""Setup!D499"")=True,""N/A"",INDIRECT(""Setup!E499"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F499"")=True,""Pass"",INDIRECT(""Setup!G499"")=True,""Fail"",INDIRECT(""Setup!H499"")=True,""N/A"",INDIRECT(""Setup!I499"")=True,""Retest"")",No Cutting Mat,,,,
2,"=IFS(INDIRECT(""Setup!B500"")=True,""Pass"",INDIRECT(""Setup!C500"")=True,""Fail"",INDIRECT(""Setup!D500"")=True,""N/A"",INDIRECT(""Setup!E500"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F500"")=True,""Pass"",INDIRECT(""Setup!G500"")=True,""Fail"",INDIRECT(""Setup!H500"")=True,""N/A"",INDIRECT(""Setup!I500"")=True,""Retest"")",Portrait Cutting Mat,,,,
2,"=IFS(INDIRECT(""Setup!B501"")=True,""Pass"",INDIRECT(""Setup!C501"")=True,""Fail"",INDIRECT(""Setup!D501"")=True,""N/A"",INDIRECT(""Setup!E501"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F501"")=True,""Pass"",INDIRECT(""Setup!G501"")=True,""Fail"",INDIRECT(""Setup!H501"")=True,""N/A"",INDIRECT(""Setup!I501"")=True,""Retest"")","CAMEO 12""x 12"" Cutting Mat",,,,
3,"=IFS(INDIRECT(""Setup!B502"")=True,""Pass"",INDIRECT(""Setup!C502"")=True,""Fail"",INDIRECT(""Setup!D502"")=True,""N/A"",INDIRECT(""Setup!E502"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F502"")=True,""Pass"",INDIRECT(""Setup!G502"")=True,""Fail"",INDIRECT(""Setup!H502"")=True,""N/A"",INDIRECT(""Setup!I502"")=True,""Retest"")","CAMEO 12""x 24"" Cutting Mat",,,,
3,"=IFS(INDIRECT(""Setup!B503"")=True,""Pass"",INDIRECT(""Setup!C503"")=True,""Fail"",INDIRECT(""Setup!D503"")=True,""N/A"",INDIRECT(""Setup!E503"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F503"")=True,""Pass"",INDIRECT(""Setup!G503"")=True,""Fail"",INDIRECT(""Setup!H503"")=True,""N/A"",INDIRECT(""Setup!I503"")=True,""Retest"")",Stamp Cutting Mat,,,,
3,"=IFS(INDIRECT(""Setup!B504"")=True,""Pass"",INDIRECT(""Setup!C504"")=True,""Fail"",INDIRECT(""Setup!D504"")=True,""N/A"",INDIRECT(""Setup!E504"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F504"")=True,""Pass"",INDIRECT(""Setup!G504"")=True,""Fail"",INDIRECT(""Setup!H504"")=True,""N/A"",INDIRECT(""Setup!I504"")=True,""Retest"")","Curio Cut (8.5"" x 12"") Cutting Mat",,,,
2,"=IFS(INDIRECT(""Setup!B505"")=True,""Pass"",INDIRECT(""Setup!C505"")=True,""Fail"",INDIRECT(""Setup!D505"")=True,""N/A"",INDIRECT(""Setup!E505"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F505"")=True,""Pass"",INDIRECT(""Setup!G505"")=True,""Fail"",INDIRECT(""Setup!H505"")=True,""N/A"",INDIRECT(""Setup!I505"")=True,""Retest"")","Curio Cut (8.5"" x 6"") Cutting Mat",,,,
3,"=IFS(INDIRECT(""Setup!B506"")=True,""Pass"",INDIRECT(""Setup!C506"")=True,""Fail"",INDIRECT(""Setup!D506"")=True,""N/A"",INDIRECT(""Setup!E506"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F506"")=True,""Pass"",INDIRECT(""Setup!G506"")=True,""Fail"",INDIRECT(""Setup!H506"")=True,""N/A"",INDIRECT(""Setup!I506"")=True,""Retest"")","Curio Emboss (8.5"" x 12"") Cutting Mat",,,,
3,"=IFS(INDIRECT(""Setup!B507"")=True,""Pass"",INDIRECT(""Setup!C507"")=True,""Fail"",INDIRECT(""Setup!D507"")=True,""N/A"",INDIRECT(""Setup!E507"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F507"")=True,""Pass"",INDIRECT(""Setup!G507"")=True,""Fail"",INDIRECT(""Setup!H507"")=True,""N/A"",INDIRECT(""Setup!I507"")=True,""Retest"")","Curio Emboss (8.5"" x 6"") Cutting Mat",,,,
3,"=IFS(INDIRECT(""Setup!B508"")=True,""Pass"",INDIRECT(""Setup!C508"")=True,""Fail"",INDIRECT(""Setup!D508"")=True,""N/A"",INDIRECT(""Setup!E508"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F508"")=True,""Pass"",INDIRECT(""Setup!G508"")=True,""Fail"",INDIRECT(""Setup!H508"")=True,""N/A"",INDIRECT(""Setup!I508"")=True,""Retest"")",Alta Print Bed,,,,
3,"=IFS(INDIRECT(""Setup!B509"")=True,""Pass"",INDIRECT(""Setup!C509"")=True,""Fail"",INDIRECT(""Setup!D509"")=True,""N/A"",INDIRECT(""Setup!E509"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F509"")=True,""Pass"",INDIRECT(""Setup!G509"")=True,""Fail"",INDIRECT(""Setup!H509"")=True,""N/A"",INDIRECT(""Setup!I509"")=True,""Retest"")",Cutting Mat Reveal (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B510"")=True,""Pass"",INDIRECT(""Setup!C510"")=True,""Fail"",INDIRECT(""Setup!D510"")=True,""N/A"",INDIRECT(""Setup!E510"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F510"")=True,""Pass"",INDIRECT(""Setup!G510"")=True,""Fail"",INDIRECT(""Setup!H510"")=True,""N/A"",INDIRECT(""Setup!I510"")=True,""Retest"")","Select ALL Page Sizes from 
Dropdown List",,,,
3,"=IFS(INDIRECT(""Setup!B511"")=True,""Pass"",INDIRECT(""Setup!C511"")=True,""Fail"",INDIRECT(""Setup!D511"")=True,""N/A"",INDIRECT(""Setup!E511"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F511"")=True,""Pass"",INDIRECT(""Setup!G511"")=True,""Fail"",INDIRECT(""Setup!H511"")=True,""N/A"",INDIRECT(""Setup!I511"")=True,""Retest"")",Adjust Page Width (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B512"")=True,""Pass"",INDIRECT(""Setup!C512"")=True,""Fail"",INDIRECT(""Setup!D512"")=True,""N/A"",INDIRECT(""Setup!E512"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F512"")=True,""Pass"",INDIRECT(""Setup!G512"")=True,""Fail"",INDIRECT(""Setup!H512"")=True,""N/A"",INDIRECT(""Setup!I512"")=True,""Retest"")",Adjust Page Height (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B513"")=True,""Pass"",INDIRECT(""Setup!C513"")=True,""Fail"",INDIRECT(""Setup!D513"")=True,""N/A"",INDIRECT(""Setup!E513"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F513"")=True,""Pass"",INDIRECT(""Setup!G513"")=True,""Fail"",INDIRECT(""Setup!H513"")=True,""N/A"",INDIRECT(""Setup!I513"")=True,""Retest"")",Set Portrait Orientaion,,,,
3,"=IFS(INDIRECT(""Setup!B514"")=True,""Pass"",INDIRECT(""Setup!C514"")=True,""Fail"",INDIRECT(""Setup!D514"")=True,""N/A"",INDIRECT(""Setup!E514"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F514"")=True,""Pass"",INDIRECT(""Setup!G514"")=True,""Fail"",INDIRECT(""Setup!H514"")=True,""N/A"",INDIRECT(""Setup!I514"")=True,""Retest"")",Set Landscape Orientaion,,,,
3,"=IFS(INDIRECT(""Setup!B515"")=True,""Pass"",INDIRECT(""Setup!C515"")=True,""Fail"",INDIRECT(""Setup!D515"")=True,""N/A"",INDIRECT(""Setup!E515"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F515"")=True,""Pass"",INDIRECT(""Setup!G515"")=True,""Fail"",INDIRECT(""Setup!H515"")=True,""N/A"",INDIRECT(""Setup!I515"")=True,""Retest"")",Rotate 0°,,,,
3,"=IFS(INDIRECT(""Setup!B516"")=True,""Pass"",INDIRECT(""Setup!C516"")=True,""Fail"",INDIRECT(""Setup!D516"")=True,""N/A"",INDIRECT(""Setup!E516"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F516"")=True,""Pass"",INDIRECT(""Setup!G516"")=True,""Fail"",INDIRECT(""Setup!H516"")=True,""N/A"",INDIRECT(""Setup!I516"")=True,""Retest"")",Rotate 90°,,,,
3,"=IFS(INDIRECT(""Setup!B517"")=True,""Pass"",INDIRECT(""Setup!C517"")=True,""Fail"",INDIRECT(""Setup!D517"")=True,""N/A"",INDIRECT(""Setup!E517"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F517"")=True,""Pass"",INDIRECT(""Setup!G517"")=True,""Fail"",INDIRECT(""Setup!H517"")=True,""N/A"",INDIRECT(""Setup!I517"")=True,""Retest"")",Rotate 180°,,,,
3,"=IFS(INDIRECT(""Setup!B518"")=True,""Pass"",INDIRECT(""Setup!C518"")=True,""Fail"",INDIRECT(""Setup!D518"")=True,""N/A"",INDIRECT(""Setup!E518"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F518"")=True,""Pass"",INDIRECT(""Setup!G518"")=True,""Fail"",INDIRECT(""Setup!H518"")=True,""N/A"",INDIRECT(""Setup!I518"")=True,""Retest"")",Rotate 270°,,,,
3,"=IFS(INDIRECT(""Setup!B519"")=True,""Pass"",INDIRECT(""Setup!C519"")=True,""Fail"",INDIRECT(""Setup!D519"")=True,""N/A"",INDIRECT(""Setup!E519"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F519"")=True,""Pass"",INDIRECT(""Setup!G519"")=True,""Fail"",INDIRECT(""Setup!H519"")=True,""N/A"",INDIRECT(""Setup!I519"")=True,""Retest"")",Toggle Show Print Border on /off,,,,
3,"=IFS(INDIRECT(""Setup!B520"")=True,""Pass"",INDIRECT(""Setup!C520"")=True,""Fail"",INDIRECT(""Setup!D520"")=True,""N/A"",INDIRECT(""Setup!E520"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F520"")=True,""Pass"",INDIRECT(""Setup!G520"")=True,""Fail"",INDIRECT(""Setup!H520"")=True,""N/A"",INDIRECT(""Setup!I520"")=True,""Retest"")",Toggle Show Cut Border on /off,,,,
,Print Bleed,,,,,,
3,"=IFS(INDIRECT(""Setup!B522"")=True,""Pass"",INDIRECT(""Setup!C522"")=True,""Fail"",INDIRECT(""Setup!D522"")=True,""N/A"",INDIRECT(""Setup!E522"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F522"")=True,""Pass"",INDIRECT(""Setup!G522"")=True,""Fail"",INDIRECT(""Setup!H522"")=True,""N/A"",INDIRECT(""Setup!I522"")=True,""Retest"")",Apply Print Bleed,,,,
3,"=IFS(INDIRECT(""Setup!B523"")=True,""Pass"",INDIRECT(""Setup!C523"")=True,""Fail"",INDIRECT(""Setup!D523"")=True,""N/A"",INDIRECT(""Setup!E523"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F523"")=True,""Pass"",INDIRECT(""Setup!G523"")=True,""Fail"",INDIRECT(""Setup!H523"")=True,""N/A"",INDIRECT(""Setup!I523"")=True,""Retest"")",Bleed Radius (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B524"")=True,""Pass"",INDIRECT(""Setup!C524"")=True,""Fail"",INDIRECT(""Setup!D524"")=True,""N/A"",INDIRECT(""Setup!E524"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F524"")=True,""Pass"",INDIRECT(""Setup!G524"")=True,""Fail"",INDIRECT(""Setup!H524"")=True,""N/A"",INDIRECT(""Setup!I524"")=True,""Retest"")",Print File,,,,
,Grid,,,,,,
