Silhouette Studio Level Testing Document,,,,,,4.2.233,
Win,Mac,Level,Task,Notes,Ticket No.,Win,Mac
"=Switch(INDIRECT(""G291""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H291""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,"Justify Text, Fully Justified. ",,,,
"=Switch(INDIRECT(""G292""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H292""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Horizontal Text,Default,,,
"=Switch(INDIRECT(""G293""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H293""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Vertical Text,,,,
"=Switch(INDIRECT(""G294""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H294""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Line Spacing (3 inputs),,,,
"=Switch(INDIRECT(""G295""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H295""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Character Spacing (3 inputs),,,,
"=Switch(INDIRECT(""G296""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H296""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Kerrning On /Off,Off by default,,,
Glyphs,,,,,,,
"=Switch(INDIRECT(""G298""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H298""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Add glyphs,Designer Edition and above.,,,
"=Switch(INDIRECT(""G299""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H299""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Recently Used Glyphs,Designer Edition and above.,,,
"=Switch(INDIRECT(""G300""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H300""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Change the size (All inputs),Designer Edition and above.,,,
"=Switch(INDIRECT(""G301""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H301""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Change the font,Designer Edition and above.,,,
Manual Font Creation,,,,,,,
"=Switch(INDIRECT(""G303""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H303""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Show Font Creator Sheet,,,,
"=Switch(INDIRECT(""G304""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H304""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Letter,,,,
"=Switch(INDIRECT(""G305""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H305""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,A4,,,,
"=Switch(INDIRECT(""G306""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H306""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Scan font sheet in,,,,
"=Switch(INDIRECT(""G307""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H307""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Ensure Font installed,,,,
"=Switch(INDIRECT(""G308""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H308""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Ensure Font works in SS,,,,
"=Switch(INDIRECT(""G309""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H309""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Ensure Font works in other programmes,,,,
"=Switch(INDIRECT(""G310""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H310""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Edit Glyph,,,,
"=Switch(INDIRECT(""G311""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H311""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Save Glyph,,,,
"=Switch(INDIRECT(""G312""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H312""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Save Font,,,,
Modify,,,,,,,
Trace,,,,,,,
"=Switch(INDIRECT(""G315""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H315""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Select Trace Area,,,,
"=Switch(INDIRECT(""G316""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H316""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Threshold (3 inputs),,,,
"=Switch(INDIRECT(""G317""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H317""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,High Pass (3 inputs),,,,
"=Switch(INDIRECT(""G318""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H318""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Trace,,,,
"=Switch(INDIRECT(""G319""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H319""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Trace Outer Edge,,,,
"=Switch(INDIRECT(""G320""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H320""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Trace and Detach,,,,
"=Switch(INDIRECT(""G321""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H321""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Soild Fill,,,,
"=Switch(INDIRECT(""G322""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H322""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Outline Fill,,,,
Trace by Colour,,,,,,,
"=Switch(INDIRECT(""G324""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H324""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Tolerance (3 inputs),,,,
"=Switch(INDIRECT(""G325""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H325""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Trace all areas with same color.,,,,
Magnet Trace,,,,,,,
"=Switch(INDIRECT(""G327""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H327""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Magnet Trace,,,,
"=Switch(INDIRECT(""G328""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H328""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Size (3 inputs),,,,
Transform,,,,,,,
Move,,,,,,,
"=Switch(INDIRECT(""G331""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H331""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Move by Distance (3 inputs),,,,
"=Switch(INDIRECT(""G332""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H332""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Right,,,,
"=Switch(INDIRECT(""G333""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H333""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Up,,,,
"=Switch(INDIRECT(""G334""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H334""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Left,,,,
"=Switch(INDIRECT(""G335""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H335""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Down,,,,
"=Switch(INDIRECT(""G336""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H336""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Move to Corner,,,,
"=Switch(INDIRECT(""G337""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H337""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Move to center,,,,
"=Switch(INDIRECT(""G338""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H338""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Move X Coordinates (3 inputs),,,,
"=Switch(INDIRECT(""G339""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H339""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Move Y Coordinates (3 inputs),,,,
Scale,,,,,,,
"=Switch(INDIRECT(""G341""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H341""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,33%,,,,
"=Switch(INDIRECT(""G342""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H342""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,50%,,,,
"=Switch(INDIRECT(""G343""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H343""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,200%,,,,
"=Switch(INDIRECT(""G344""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H344""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,300%,,,,
"=Switch(INDIRECT(""G345""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H345""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Custom (3 inputs),,,,
"=Switch(INDIRECT(""G346""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H346""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Specify W Dimension (3 inputs),,,,
"=Switch(INDIRECT(""G347""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H347""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Specify H Dimension (3 inputs),,,,
"=Switch(INDIRECT(""G348""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H348""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Lock Aspect + Change W / H,,,,
Rotate,,,,,,,
"=Switch(INDIRECT(""G350""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H350""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Rotate to 0°,,,,
"=Switch(INDIRECT(""G351""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H351""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Rotate to 90°,,,,
"=Switch(INDIRECT(""G352""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H352""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Rotate to 180°,,,,
"=Switch(INDIRECT(""G353""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H353""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Rotate to 270°,,,,
"=Switch(INDIRECT(""G354""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H354""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Custom Rotate To (3 inputs),,,,
"=Switch(INDIRECT(""G355""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H355""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Rotate By 45° CW,,,,
"=Switch(INDIRECT(""G356""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H356""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Rotate By 90° CW,,,,
"=Switch(INDIRECT(""G357""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H357""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Rotate By 180°,,,,
"=Switch(INDIRECT(""G358""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H358""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Rotate By 45° CCW,,,,
"=Switch(INDIRECT(""G359""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H359""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Rotate By 90° CCW,,,,
"=Switch(INDIRECT(""G360""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H360""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Custom Rotate By (3 inputs),,,,
Align,,,,,,,
"=Switch(INDIRECT(""G362""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H362""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Center to Page,,,,
"=Switch(INDIRECT(""G363""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H363""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Align left,,,,
"=Switch(INDIRECT(""G364""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H364""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Align Center,,,,
"=Switch(INDIRECT(""G365""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H365""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Align Right,,,,
"=Switch(INDIRECT(""G366""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H366""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Align Top,,,,
"=Switch(INDIRECT(""G367""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H367""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Align Middle,,,,
"=Switch(INDIRECT(""G368""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H368""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Align Bottom,,,,
"=Switch(INDIRECT(""G369""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H369""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Space Horizontally,,,,
"=Switch(INDIRECT(""G370""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H370""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Space Vertically,,,,
Shear,,,,,,,
"=Switch(INDIRECT(""G372""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H372""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Horizontal Shear by -30°,Designer Edition and above.,,,
"=Switch(INDIRECT(""G373""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H373""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Horizontal Shear by -15°,Designer Edition and above.,,,
"=Switch(INDIRECT(""G374""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H374""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,0 Horizontal Shear,Designer Edition and above.,,,
"=Switch(INDIRECT(""G375""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H375""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Horizontal Shear by 15°,Designer Edition and above.,,,
"=Switch(INDIRECT(""G376""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H376""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Horizontal Shear by 30°,Designer Edition and above.,,,
"=Switch(INDIRECT(""G377""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H377""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Custom Horizontal Shear (3 imputs),Designer Edition and above.,,,
"=Switch(INDIRECT(""G378""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H378""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Vertical Shear by -30°,Designer Edition and above.,,,
"=Switch(INDIRECT(""G379""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H379""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Vertical Shear by -15°,Designer Edition and above.,,,
"=Switch(INDIRECT(""G380""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H380""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,0 Vertical Shear,Designer Edition and above.,,,
"=Switch(INDIRECT(""G381""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H381""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Vertical Shear by 15°,Designer Edition and above.,,,
"=Switch(INDIRECT(""G382""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H382""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Vertical Shear by 30°,Designer Edition and above.,,,
"=Switch(INDIRECT(""G383""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H383""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Custom Vertical Shear (3 imputs),Designer Edition and above.,,,
"=Switch(INDIRECT(""G384""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H384""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Show Shear Handles,Designer Edition and above.,,,
Replicate,,,,,,,
Basic Replication,,,,,,,
"=Switch(INDIRECT(""G387""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H387""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Duplicate Left,,,,
"=Switch(INDIRECT(""G388""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H388""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Duplicate Right,,,,
"=Switch(INDIRECT(""G389""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H389""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Duplicate Below,,,,
"=Switch(INDIRECT(""G390""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H390""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Duplicate Above,,,,
"=Switch(INDIRECT(""G391""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H391""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Row of Three,,,,
"=Switch(INDIRECT(""G392""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H392""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Row of Four,,,,
"=Switch(INDIRECT(""G393""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H393""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Column of Three,,,,
"=Switch(INDIRECT(""G394""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H394""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Column of Four,,,,
"=Switch(INDIRECT(""G395""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H395""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Fill Page,,,,
"=Switch(INDIRECT(""G396""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H396""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Mirror Below,,,,
"=Switch(INDIRECT(""G397""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H397""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Mirror Above,,,,
"=Switch(INDIRECT(""G398""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H398""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Mirror Left,,,,
"=Switch(INDIRECT(""G399""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H399""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Mirror Right,,,,
"=Switch(INDIRECT(""G400""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H400""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Rotate One Copy,,,,
"=Switch(INDIRECT(""G401""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H401""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Rotate Two Copies,,,,
